X,Y,Predicted,Number of 1's,A2,Z2,A1,Z1
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",0,0,3,0.12,-1.99,"[0.41, 0.99, 1.0, 0.4]","[-0.37, 4.82, 8.54, -0.39]"
"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",0,0,3,0.23,-1.22,"[0.49, 0.74, 1.0, 0.42]","[-0.04, 1.04, 9.61, -0.32]"
"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1]",0,0,4,0.12,-1.98,"[0.42, 0.99, 1.0, 0.39]","[-0.32, 4.84, 8.71, -0.45]"
"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",0,0,3,0.1,-2.17,"[0.97, 0.49, 1.0, 0.97]","[3.46, -0.03, 8.9, 3.53]"
"[0, 0, 0, 1, 0, 0, 1, 1, 0, 1]",0,0,4,0.02,-3.93,"[0.96, 0.98, 1.0, 0.97]","[3.18, 3.78, 8.01, 3.4]"
"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]",0,0,4,0.1,-2.19,"[0.97, 0.5, 1.0, 0.97]","[3.5, -0.01, 9.08, 3.47]"
"[0, 0, 0, 1, 0, 0, 1, 1, 1, 1]",0,0,5,0.02,-3.93,"[0.96, 0.98, 1.0, 0.97]","[3.22, 3.8, 8.18, 3.34]"
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0,0,2,0.02,-4.02,"[0.97, 1.0, 1.0, 0.97]","[3.65, 5.84, 9.1, 3.41]"
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",0,0,3,0.02,-4.01,"[0.97, 1.0, 1.0, 0.96]","[3.37, 9.65, 8.2, 3.28]"
"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",0,0,3,0.02,-4.02,"[0.98, 1.0, 1.0, 0.97]","[3.7, 5.86, 9.27, 3.35]"
"[0, 0, 0, 1, 0, 1, 0, 0, 1, 1]",0,0,4,0.02,-4.01,"[0.97, 1.0, 1.0, 0.96]","[3.42, 9.67, 8.37, 3.22]"
"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",0,0,3,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.2, 4.8, 8.56, 7.21]"
"[0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.92, 8.61, 7.67, 7.08]"
"[0, 0, 0, 1, 0, 1, 0, 1, 1, 0]",0,0,4,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.24, 4.82, 8.74, 7.15]"
"[0, 0, 0, 1, 0, 1, 0, 1, 1, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.96, 8.63, 7.84, 7.02]"
"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",0,0,3,0.02,-3.97,"[0.96, 1.0, 1.0, 0.95]","[3.23, 5.45, 12.95, 3.02]"
"[0, 0, 0, 1, 0, 1, 1, 0, 0, 1]",0,0,4,0.02,-3.95,"[0.95, 1.0, 1.0, 0.95]","[2.95, 9.25, 12.05, 2.89]"
"[0, 0, 0, 1, 0, 1, 1, 0, 1, 0]",0,0,4,0.02,-3.97,"[0.96, 1.0, 1.0, 0.95]","[3.28, 5.47, 13.12, 2.96]"
"[0, 0, 0, 1, 0, 1, 1, 0, 1, 1]",0,0,5,0.02,-3.95,"[0.95, 1.0, 1.0, 0.94]","[2.99, 9.27, 12.22, 2.83]"
"[0, 0, 0, 1, 0, 1, 1, 1, 0, 0]",0,0,4,0.02,-4.09,"[1.0, 0.99, 1.0, 1.0]","[6.78, 4.4, 12.41, 6.82]"
"[0, 0, 0, 1, 0, 1, 1, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.49, 8.21, 11.52, 6.69]"
"[0, 0, 0, 1, 0, 1, 1, 1, 1, 0]",0,0,5,0.02,-4.09,"[1.0, 0.99, 1.0, 1.0]","[6.82, 4.42, 12.58, 6.76]"
"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.54, 8.23, 11.69, 6.63]"
"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",0,0,2,0.02,-4.02,"[0.97, 1.0, 1.0, 0.97]","[3.6, 5.89, 9.08, 3.35]"
"[0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",0,0,3,0.02,-4.0,"[0.96, 1.0, 1.0, 0.96]","[3.31, 9.7, 8.18, 3.22]"
"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",0,0,3,0.02,-4.02,"[0.97, 1.0, 1.0, 0.96]","[3.64, 5.91, 9.25, 3.29]"
"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1]",0,0,4,0.02,-4.0,"[0.97, 1.0, 1.0, 0.96]","[3.36, 9.72, 8.35, 3.17]"
"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",0,0,3,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.14, 4.85, 8.54, 7.15]"
"[0, 0, 0, 1, 1, 0, 0, 1, 0, 1]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.86, 8.66, 7.65, 7.02]"
"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0]",0,0,4,0.02,-4.1,"[1.0, 0.99, 1.0, 1.0]","[7.18, 4.87, 8.71, 7.09]"
"[0, 0, 0, 1, 1, 0, 0, 1, 1, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.9, 8.68, 7.82, 6.96]"
"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",0,0,3,0.02,-3.96,"[0.96, 1.0, 1.0, 0.95]","[3.17, 5.5, 12.92, 2.96]"
"[0, 0, 0, 1, 1, 0, 1, 0, 0, 1]",0,0,4,0.02,-3.94,"[0.95, 1.0, 1.0, 0.94]","[2.89, 9.3, 12.03, 2.83]"
"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0]",0,0,4,0.02,-3.96,"[0.96, 1.0, 1.0, 0.95]","[3.22, 5.51, 13.1, 2.9]"
"[0, 0, 0, 1, 1, 0, 1, 0, 1, 1]",0,0,5,0.02,-3.94,"[0.95, 1.0, 1.0, 0.94]","[2.94, 9.32, 12.2, 2.77]"
"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0]",0,0,4,0.02,-4.09,"[1.0, 0.99, 1.0, 1.0]","[6.72, 4.45, 12.39, 6.76]"
"[0, 0, 0, 1, 1, 0, 1, 1, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.44, 8.26, 11.49, 6.63]"
"[0, 0, 0, 1, 1, 0, 1, 1, 1, 0]",0,0,5,0.02,-4.09,"[1.0, 0.99, 1.0, 1.0]","[6.76, 4.47, 12.56, 6.7]"
"[0, 0, 0, 1, 1, 0, 1, 1, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.48, 8.28, 11.67, 6.57]"
"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",0,0,3,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.91, 10.32, 12.58, 6.64]"
"[0, 0, 0, 1, 1, 1, 0, 0, 0, 1]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.63, 14.13, 11.69, 6.51]"
"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0]",0,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.96, 10.34, 12.76, 6.58]"
"[0, 0, 0, 1, 1, 1, 0, 0, 1, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.68, 14.15, 11.86, 6.45]"
"[0, 0, 0, 1, 1, 1, 0, 1, 0, 0]",0,0,4,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.46, 9.28, 12.05, 10.44]"
"[0, 0, 0, 1, 1, 1, 0, 1, 0, 1]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.17, 13.09, 11.15, 10.31]"
"[0, 0, 0, 1, 1, 1, 0, 1, 1, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.5, 9.3, 12.22, 10.38]"
"[0, 0, 0, 1, 1, 1, 0, 1, 1, 1]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.22, 13.11, 11.33, 10.25]"
"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",1,0,4,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.49, 9.92, 16.43, 6.25]"
"[0, 0, 0, 1, 1, 1, 1, 0, 0, 1]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.21, 13.73, 15.53, 6.12]"
"[0, 0, 0, 1, 1, 1, 1, 0, 1, 0]",0,0,5,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.54, 9.94, 16.6, 6.19]"
"[0, 0, 0, 1, 1, 1, 1, 0, 1, 1]",0,0,6,0.02,-4.13,"[1.0, 1.0, 1.0, 1.0]","[6.25, 13.75, 15.71, 6.06]"
"[0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",0,0,5,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.03, 8.88, 15.9, 10.04]"
"[0, 0, 0, 1, 1, 1, 1, 1, 0, 1]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[9.75, 12.69, 15.0, 9.92]"
"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",0,0,6,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[10.08, 8.9, 16.07, 9.99]"
"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0,0,7,0.02,-4.14,"[1.0, 1.0, 1.0, 1.0]","[9.8, 12.71, 15.17, 9.86]"
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0.09,-2.28,"[0.99, 0.73, 0.77, 0.99]","[4.39, 0.97, 1.24, 4.44]"
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0,0,2,0.07,-2.56,"[0.98, 0.99, 0.58, 0.99]","[4.11, 4.78, 0.34, 4.31]"
"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",0,0,2,0.08,-2.39,"[0.99, 0.73, 0.8, 0.99]","[4.44, 0.99, 1.41, 4.38]"
"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",0,0,3,0.06,-2.7,"[0.98, 0.99, 0.62, 0.99]","[4.16, 4.8, 0.51, 4.25]"
"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1,0,2,0.26,-1.04,"[1.0, 0.48, 0.67, 1.0]","[7.94, -0.07, 0.7, 8.24]"
"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",0,0,3,0.11,-2.07,"[1.0, 0.98, 0.45, 1.0]","[7.66, 3.74, -0.19, 8.11]"
"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",0,0,3,0.23,-1.19,"[1.0, 0.49, 0.71, 1.0]","[7.98, -0.05, 0.87, 8.18]"
"[0, 0, 1, 0, 0, 0, 0, 1, 1, 1]",0,0,4,0.1,-2.23,"[1.0, 0.98, 0.49, 1.0]","[7.7, 3.76, -0.02, 8.05]"
"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",0,0,2,0.06,-2.73,"[0.98, 0.64, 0.99, 0.98]","[3.97, 0.58, 5.08, 4.05]"
"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",0,0,3,0.02,-3.96,"[0.98, 0.99, 0.99, 0.98]","[3.69, 4.38, 4.19, 3.92]"
"[0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",0,0,3,0.06,-2.75,"[0.98, 0.64, 0.99, 0.98]","[4.02, 0.6, 5.25, 3.99]"
"[0, 0, 1, 0, 0, 0, 1, 0, 1, 1]",0,0,4,0.02,-3.97,"[0.98, 0.99, 0.99, 0.98]","[3.74, 4.4, 4.36, 3.86]"
"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",0,0,3,0.14,-1.84,"[1.0, 0.39, 0.99, 1.0]","[7.52, -0.47, 4.55, 7.85]"
"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",0,0,4,0.02,-3.92,"[1.0, 0.97, 0.97, 1.0]","[7.23, 3.34, 3.65, 7.72]"
"[0, 0, 1, 0, 0, 0, 1, 1, 1, 0]",0,0,4,0.13,-1.86,"[1.0, 0.39, 0.99, 1.0]","[7.56, -0.45, 4.72, 7.79]"
"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1]",0,0,5,0.02,-3.93,"[1.0, 0.97, 0.98, 1.0]","[7.28, 3.36, 3.82, 7.66]"
"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,0,2,0.02,-4.09,"[1.0, 1.0, 0.99, 1.0]","[7.71, 5.4, 4.74, 7.73]"
"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",0,0,3,0.02,-4.06,"[1.0, 1.0, 0.98, 1.0]","[7.43, 9.21, 3.85, 7.6]"
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",0,0,3,0.02,-4.09,"[1.0, 1.0, 0.99, 1.0]","[7.76, 5.42, 4.91, 7.67]"
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 1]",0,0,4,0.02,-4.07,"[1.0, 1.0, 0.98, 1.0]","[7.47, 9.23, 4.02, 7.54]"
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",0,0,3,0.02,-4.04,"[1.0, 0.99, 0.99, 1.0]","[11.25, 4.36, 4.21, 11.52]"
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",0,0,4,0.02,-4.01,"[1.0, 1.0, 0.96, 1.0]","[10.97, 8.17, 3.31, 11.39]"
"[0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",0,0,4,0.02,-4.05,"[1.0, 0.99, 0.99, 1.0]","[11.3, 4.38, 4.38, 11.46]"
"[0, 0, 1, 0, 0, 1, 0, 1, 1, 1]",0,0,5,0.02,-4.03,"[1.0, 1.0, 0.97, 1.0]","[11.02, 8.19, 3.48, 11.34]"
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]",0,0,3,0.02,-4.11,"[1.0, 0.99, 1.0, 1.0]","[7.29, 5.01, 8.59, 7.34]"
