X,Y,Predicted,Number of 1's,F1,F2,F3,F4,F5,F6,A2,Z2,A1,Z1
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",0,0,2,0,0,0,0,0,0,0.01,-5.01,"[0.0, 0.0, 0.72, 0.58, 0.0, 0.0, 0.64, 1.59, 0.38, 0.88]","[-0.3, -0.66, 0.72, 0.58, -0.0, -1.15, 0.64, 1.59, 0.38, 0.88]"
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",0,0,3,0,0,0,0,0,0,0.0,-24.93,"[0.0, 1.9, 0.45, 0.53, 0.0, 0.0, 0.95, 2.98, 0.37, 0.86]","[-0.33, 1.9, 0.45, 0.53, -0.0, -4.75, 0.95, 2.98, 0.37, 0.86]"
"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",0,0,2,0,0,0,0,0,0,0.0,-24.22,"[0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 2.66, 3.54, 0.81, 0.62]","[-0.39, -5.1, 0.8, -0.35, -0.0, -0.19, 2.66, 3.54, 0.81, 0.62]"
"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",0,0,3,0,0,0,0,0,0,0.0,-32.38,"[0.0, 0.0, 0.52, 0.0, 0.0, 0.0, 2.97, 4.93, 0.81, 0.6]","[-0.41, -2.54, 0.52, -0.4, -0.0, -3.79, 2.97, 4.93, 0.81, 0.6]"
"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0,0,3,0,0,0,0,0,0,0.0,-28.65,"[0.0, 0.0, 0.75, 0.37, 0.0, 0.0, 3.46, 3.63, 0.38, 0.39]","[-0.47, -3.76, 0.75, 0.37, -0.0, -2.07, 3.46, 3.63, 0.38, 0.39]"
"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,0,4,0,0,0,0,0,0,0.0,-36.89,"[0.0, 0.0, 0.47, 0.32, 0.0, 0.0, 3.77, 5.02, 0.38, 0.37]","[-0.49, -1.2, 0.47, 0.32, -0.0, -5.67, 3.77, 5.02, 0.38, 0.37]"
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,1,0.0,-8.93,"[1.57, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74, 1.66, 0.39, 0.29]","[1.57, -0.12, -0.15, -0.27, -0.0, -2.4, 1.74, 1.66, 0.39, 0.29]"
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,0,2,0,0,0,0,0,1,0.0,-31.87,"[1.55, 2.44, 0.0, 0.0, 0.0, 0.0, 2.04, 3.05, 0.38, 0.27]","[1.55, 2.44, -0.42, -0.32, -0.0, -6.01, 2.04, 3.05, 0.38, 0.27]"
"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",0,0,2,0,0,0,0,0,1,0.0,-20.92,"[1.5, 1.23, 0.0, 0.45, 0.0, 0.0, 2.54, 1.75, 0.0, 0.06]","[1.5, 1.23, -0.2, 0.45, -0.0, -4.29, 2.54, 1.75, -0.04, 0.06]"
"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1]",0,0,3,0,0,0,0,0,1,0.0,-44.65,"[1.47, 3.79, 0.0, 0.4, 0.0, 0.0, 2.84, 3.14, 0.0, 0.03]","[1.47, 3.79, -0.47, 0.4, -0.0, -7.89, 2.84, 3.14, -0.05, 0.03]"
"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0,0,2,0,0,0,0,0,1,0.0,-32.41,"[1.41, 0.0, 0.0, 0.0, 0.0, 0.0, 4.56, 3.71, 0.39, 0.0]","[1.41, -3.21, -0.13, -0.48, -0.0, -3.32, 4.56, 3.71, 0.39, -0.2]"
"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,0,3,0,0,0,0,0,1,0.0,-40.28,"[1.38, 0.0, 0.0, 0.0, 0.0, 0.0, 4.86, 5.1, 0.38, 0.0]","[1.38, -0.65, -0.4, -0.53, -0.0, -6.92, 4.86, 5.1, 0.38, -0.22]"
"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",0,0,3,0,0,0,0,0,1,0.0,-36.8,"[1.33, 0.0, 0.0, 0.24, 0.0, 0.0, 5.36, 3.8, 0.0, 0.0]","[1.33, -1.86, -0.18, 0.24, -0.0, -5.21, 5.36, 3.8, -0.04, -0.43]"
"[0, 0, 0, 0, 0, 1, 0, 1, 1, 1]",0,0,4,0,0,0,0,0,1,0.0,-49.04,"[1.31, 0.7, 0.0, 0.19, 0.0, 0.0, 5.66, 5.19, 0.0, 0.0]","[1.31, 0.7, -0.45, 0.19, -0.0, -8.81, 5.66, 5.19, -0.05, -0.45]"
"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0,0,2,0,0,0,0,0,1,0.0,-16.87,"[0.0, 0.0, 0.53, 0.0, 0.0, 0.0, 1.57, 3.16, 0.83, 1.14]","[-0.11, -2.13, 0.53, -0.87, -0.0, -1.67, 1.57, 3.16, 0.83, 1.14]"
"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",0,0,3,0,0,0,0,0,1,0.0,-27.71,"[0.0, 0.43, 0.26, 0.0, 0.0, 0.0, 1.88, 4.55, 0.82, 1.12]","[-0.13, 0.43, 0.26, -0.92, -0.0, -5.27, 1.88, 4.55, 0.82, 1.12]"
"[0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",0,0,3,0,0,0,0,0,1,0.0,-21.88,"[0.0, 0.0, 0.48, 0.0, 0.0, 0.0, 2.37, 3.25, 0.4, 0.91]","[-0.18, -0.78, 0.48, -0.15, -0.0, -3.56, 2.37, 3.25, 0.4, 0.91]"
"[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]",0,0,4,0,0,0,0,0,1,0.0,-41.01,"[0.0, 1.78, 0.21, 0.0, 0.0, 0.0, 2.68, 4.64, 0.39, 0.89]","[-0.21, 1.78, 0.21, -0.2, -0.0, -7.16, 2.68, 4.64, 0.39, 0.89]"
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",0,0,3,0,0,0,0,0,1,0.0,-40.18,"[0.0, 0.0, 0.56, 0.0, 0.0, 0.0, 4.39, 5.21, 0.83, 0.66]","[-0.27, -5.22, 0.56, -1.08, -0.0, -2.59, 4.39, 5.21, 0.83, 0.66]"
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",0,0,4,0,0,0,0,0,1,0.0,-48.34,"[0.0, 0.0, 0.29, 0.0, 0.0, 0.0, 4.7, 6.6, 0.83, 0.64]","[-0.3, -2.66, 0.29, -1.13, -0.0, -6.19, 4.7, 6.6, 0.83, 0.64]"
"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",0,0,4,0,0,0,0,0,1,0.0,-45.19,"[0.0, 0.0, 0.51, 0.0, 0.0, 0.0, 5.19, 5.3, 0.4, 0.43]","[-0.35, -3.87, 0.51, -0.36, -0.0, -4.48, 5.19, 5.3, 0.4, 0.43]"
"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",0,0,5,0,0,0,0,0,1,0.0,-53.35,"[0.0, 0.0, 0.24, 0.0, 0.0, 0.0, 5.5, 6.69, 0.4, 0.41]","[-0.37, -1.31, 0.24, -0.41, -0.0, -8.08, 5.5, 6.69, 0.4, 0.41]"
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,1,0,0.0,-8.86,"[1.71, 0.12, 0.0, 0.0, 0.0, 2.4, 0.0, 0.0, 0.43, 0.31]","[1.71, 0.12, -0.09, -0.12, -0.0, 2.4, -1.74, -1.66, 0.43, 0.31]"
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",0,0,2,0,0,0,0,1,0,0.0,-9.3,"[1.68, 2.68, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.42, 0.29]","[1.68, 2.68, -0.37, -0.17, -0.0, -1.2, -1.43, -0.28, 0.42, 0.29]"
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",0,0,2,0,0,0,0,1,0,0.01,-5.12,"[1.63, 1.46, 0.0, 0.6, 0.0, 0.52, 0.0, 0.0, 0.0, 0.08]","[1.63, 1.46, -0.14, 0.6, -0.0, 0.52, -0.93, -1.57, -0.0, 0.08]"
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",0,0,3,0,0,0,0,1,0,0.0,-17.71,"[1.61, 4.02, 0.0, 0.55, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06]","[1.61, 4.02, -0.42, 0.55, -0.0, -3.08, -0.63, -0.19, -0.01, 0.06]"
"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,0,2,0,0,0,0,1,0,0.0,-10.02,"[1.54, 0.0, 0.0, 0.0, 0.0, 1.48, 1.09, 0.38, 0.43, 0.0]","[1.54, -2.98, -0.07, -0.33, -0.0, 1.48, 1.09, 0.38, 0.43, -0.17]"
"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,0,3,0,0,0,0,1,0,0.0,-8.37,"[1.52, 0.0, 0.0, 0.0, 0.0, 0.0, 1.39, 1.77, 0.42, 0.0]","[1.52, -0.42, -0.34, -0.38, -0.0, -2.12, 1.39, 1.77, 0.42, -0.19]"
"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",0,0,3,0,0,0,0,1,0,0.01,-4.69,"[1.47, 0.0, 0.0, 0.39, 0.0, 0.0, 1.89, 0.47, 0.0, 0.0]","[1.47, -1.63, -0.12, 0.39, -0.0, -0.4, 1.89, 0.47, -0.0, -0.4]"
"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1]",0,0,4,0,0,0,0,1,0,0.0,-18.35,"[1.44, 0.93, 0.0, 0.34, 0.0, 0.0, 2.19, 1.86, 0.0, 0.0]","[1.44, 0.93, -0.39, 0.34, -0.0, -4.0, 2.19, 1.86, -0.01, -0.42]"
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0,0,2,0,0,0,0,1,0,0.0,-14.91,"[0.03, 0.0, 0.59, 0.0, 0.0, 3.13, 0.0, 0.0, 0.87, 1.17]","[0.03, -1.89, 0.59, -0.72, -0.0, 3.13, -1.9, -0.17, 0.87, 1.17]"
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",0,0,3,0,0,0,0,1,0,0.01,-4.93,"[0.0, 0.67, 0.32, 0.0, 0.0, 0.0, 0.0, 1.22, 0.86, 1.15]","[0.0, 0.67, 0.32, -0.77, -0.0, -0.47, -1.59, 1.22, 0.86, 1.15]"
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",0,0,3,0,0,0,0,1,0,0.02,-3.74,"[0.0, 0.0, 0.54, 0.0, 0.0, 1.25, 0.0, 0.0, 0.44, 0.94]","[-0.05, -0.55, 0.54, 0.0, -0.0, 1.25, -1.1, -0.08, 0.44, 0.94]"
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1]",0,0,4,0,0,0,0,1,0,0.0,-14.48,"[0.0, 2.01, 0.27, 0.0, 0.0, 0.0, 0.0, 1.31, 0.43, 0.92]","[-0.07, 2.01, 0.27, -0.05, -0.0, -2.35, -0.79, 1.31, 0.43, 0.92]"
"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0,0,3,0,0,0,0,1,0,0.0,-22.73,"[0.0, 0.0, 0.62, 0.0, 0.0, 2.22, 0.92, 1.88, 0.87, 0.69]","[-0.14, -4.99, 0.62, -0.93, -0.0, 2.22, 0.92, 1.88, 0.87, 0.69]"
"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0,0,4,0,0,0,0,1,0,0.0,-16.69,"[0.0, 0.0, 0.34, 0.0, 0.0, 0.0, 1.23, 3.27, 0.87, 0.67]","[-0.16, -2.43, 0.34, -0.98, -0.0, -1.39, 1.23, 3.27, 0.87, 0.67]"
"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",0,0,4,0,0,0,0,1,0,0.0,-15.66,"[0.0, 0.0, 0.57, 0.0, 0.0, 0.33, 1.72, 1.97, 0.44, 0.46]","[-0.21, -3.64, 0.57, -0.21, -0.0, 0.33, 1.72, 1.97, 0.44, 0.46]"
"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0,0,5,0,0,0,0,1,0,0.0,-21.7,"[0.0, 0.0, 0.29, 0.0, 0.0, 0.0, 2.03, 3.36, 0.44, 0.44]","[-0.24, -1.08, 0.29, -0.26, -0.0, -3.27, 2.03, 3.36, 0.44, 0.44]"
"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",1,1,2,0,0,0,0,1,1,1.0,7.66,"[1.83, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45, 0.35]","[1.83, -0.0, -0.33, -0.85, -0.0, -0.0, 0.0, -0.0, 0.45, 0.35]"
"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,0,3,0,0,0,0,1,1,0.0,-15.99,"[1.8, 2.56, 0.0, 0.0, 0.0, 0.0, 0.31, 1.39, 0.44, 0.33]","[1.8, 2.56, -0.6, -0.9, -0.0, -3.6, 0.31, 1.39, 0.44, 0.33]"
"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",0,0,3,0,0,0,0,1,1,0.0,-5.78,"[1.75, 1.35, 0.0, 0.0, 0.0, 0.0, 0.8, 0.09, 0.02, 0.12]","[1.75, 1.35, -0.38, -0.13, -0.0, -1.88, 0.8, 0.09, 0.02, 0.12]"
"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1]",0,0,4,0,0,0,0,1,1,0.0,-29.44,"[1.72, 3.91, 0.0, 0.0, 0.0, 0.0, 1.11, 1.48, 0.01, 0.1]","[1.72, 3.91, -0.65, -0.18, -0.0, -5.49, 1.11, 1.48, 0.01, 0.1]"
"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",0,0,3,0,0,0,0,1,1,0.0,-15.91,"[1.66, 0.0, 0.0, 0.0, 0.0, 0.0, 2.82, 2.05, 0.45, 0.0]","[1.66, -3.09, -0.31, -1.06, -0.0, -0.92, 2.82, 2.05, 0.45, -0.13]"
"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,0,4,0,0,0,0,1,1,0.0,-23.78,"[1.64, 0.0, 0.0, 0.0, 0.0, 0.0, 3.13, 3.44, 0.44, 0.0]","[1.64, -0.53, -0.58, -1.11, -0.0, -4.52, 3.13, 3.44, 0.44, -0.15]"
"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",0,0,4,0,0,0,0,1,1,0.0,-20.71,"[1.58, 0.0, 0.0, 0.0, 0.0, 0.0, 3.62, 2.14, 0.02, 0.0]","[1.58, -1.75, -0.36, -0.34, -0.0, -2.8, 3.62, 2.14, 0.02, -0.36]"
"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1]",0,0,5,0,0,0,0,1,1,0.0,-33.59,"[1.56, 0.81, 0.0, 0.0, 0.0, 0.0, 3.93, 3.53, 0.01, 0.0]","[1.56, 0.81, -0.63, -0.39, -0.0, -6.4, 3.93, 3.53, 0.01, -0.38]"
"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0]",0,0,3,0,0,0,0,1,1,0.0,-6.23,"[0.14, 0.0, 0.36, 0.0, 0.0, 0.73, 0.0, 1.5, 0.89, 1.21]","[0.14, -2.01, 0.36, -1.45, -0.0, 0.73, -0.16, 1.5, 0.89, 1.21]"
"[0, 0, 0, 0, 1, 1, 1, 0, 0, 1]",0,0,4,0,0,0,0,1,1,0.0,-12.4,"[0.12, 0.55, 0.08, 0.0, 0.0, 0.0, 0.14, 2.89, 0.88, 1.19]","[0.12, 0.55, 0.08, -1.49, -0.0, -2.87, 0.14, 2.89, 0.88, 1.19]"
"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",0,0,4,0,0,0,0,1,1,0.0,-6.0,"[0.07, 0.0, 0.3, 0.0, 0.0, 0.0, 0.64, 1.59, 0.46, 0.98]","[0.07, -0.66, 0.3, -0.73, -0.0, -1.15, 0.64, 1.59, 0.46, 0.98]"
"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1]",0,0,5,0,0,0,0,1,1,0.0,-25.91,"[0.04, 1.9, 0.03, 0.0, 0.0, 0.0, 0.95, 2.98, 0.45, 0.96]","[0.04, 1.9, 0.03, -0.78, -0.0, -4.75, 0.95, 2.98, 0.45, 0.96]"
"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",0,0,4,0,0,0,0,1,1,0.0,-24.48,"[0.0, 0.0, 0.38, 0.0, 0.0, 0.0, 2.66, 3.54, 0.89, 0.73]","[-0.02, -5.1, 0.38, -1.66, -0.0, -0.19, 2.66, 3.54, 0.89, 0.73]"
"[0, 0, 0, 0, 1, 1, 1, 1, 0, 1]",0,0,5,0,0,0,0,1,1,0.0,-32.65,"[0.0, 0.0, 0.11, 0.0, 0.0, 0.0, 2.97, 4.93, 0.89, 0.71]","[-0.05, -2.54, 0.11, -1.7, -0.0, -3.79, 2.97, 4.93, 0.89, 0.71]"
"[0, 0, 0, 0, 1, 1, 1, 1, 1, 0]",0,0,5,0,0,0,0,1,1,0.0,-29.49,"[0.0, 0.0, 0.33, 0.0, 0.0, 0.0, 3.46, 3.63, 0.46, 0.49]","[-0.1, -3.76, 0.33, -0.94, -0.0, -2.07, 3.46, 3.63, 0.46, 0.49]"
"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,0,6,0,0,0,0,1,1,0.0,-37.65,"[0.0, 0.0, 0.06, 0.0, 0.0, 0.0, 3.77, 5.02, 0.46, 0.47]","[-0.12, -1.2, 0.06, -0.99, -0.01, -5.67, 3.77, 5.02, 0.46, 0.47]"
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,1,0,0,0.0,-7.24,"[0.0, 2.01, 0.92, 0.07, 0.0, 0.0, 0.16, 0.0, 0.88, 1.34]","[-0.09, 2.01, 0.92, 0.07, -0.0, -0.73, 0.16, -1.5, 0.88, 1.34]"
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0,0,2,0,0,0,1,0,0,0.0,-24.88,"[0.0, 4.57, 0.65, 0.02, 0.0, 0.0, 0.47, 0.0, 0.88, 1.32]","[-0.11, 4.57, 0.65, 0.02, -0.0, -4.33, 0.47, -0.11, 0.88, 1.32]"
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",0,0,2,0,0,0,1,0,0,0.0,-19.0,"[0.0, 3.36, 0.87, 0.79, 0.0, 0.0, 0.96, 0.0, 0.45, 1.11]","[-0.16, 3.36, 0.87, 0.79, -0.0, -2.62, 0.96, -1.41, 0.45, 1.11]"
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",0,0,3,0,0,0,1,0,0,0.0,-36.64,"[0.0, 5.92, 0.6, 0.74, 0.0, 0.0, 1.27, 0.0, 0.45, 1.09]","[-0.19, 5.92, 0.6, 0.74, -0.0, -6.22, 1.27, -0.02, 0.45, 1.09]"
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0,0,2,0,0,0,1,0,0,0.0,-11.43,"[0.0, 0.0, 0.94, 0.0, 0.0, 0.0, 2.98, 0.55, 0.89, 0.86]","[-0.25, -1.08, 0.94, -0.14, -0.0, -1.65, 2.98, 0.55, 0.89, 0.86]"
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",0,0,3,0,0,0,1,0,0,0.0,-28.68,"[0.0, 1.48, 0.67, 0.0, 0.0, 0.0, 3.29, 1.94, 0.88, 0.84]","[-0.28, 1.48, 0.67, -0.19, -0.0, -5.25, 3.29, 1.94, 0.88, 0.84]"
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",0,0,3,0,0,0,1,0,0,0.0,-17.15,"[0.0, 0.26, 0.89, 0.58, 0.0, 0.0, 3.78, 0.64, 0.46, 0.63]","[-0.33, 0.26, 0.89, 0.58, -0.0, -3.53, 3.78, 0.64, 0.46, 0.63]"
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]",0,0,4,0,0,0,1,0,0,0.0,-41.15,"[0.0, 2.82, 0.62, 0.53, 0.0, 0.0, 4.09, 2.03, 0.45, 0.61]","[-0.35, 2.82, 0.62, 0.53, -0.0, -7.14, 4.09, 2.03, 0.45, 0.61]"
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",1,1,2,0,0,0,1,0,0,1.0,8.36,"[0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.33, 2.2]","[-1.77, -0.0, 1.6, -0.52, -0.0, -0.0, 0.0, -0.0, 1.33, 2.2]"
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",0,0,3,0,0,0,1,0,0,0.0,-15.55,"[0.0, 2.56, 1.33, 0.0, 0.0, 0.0, 0.31, 1.39, 1.32, 2.18]","[-1.79, 2.56, 1.33, -0.57, -0.0, -3.6, 0.31, 1.39, 1.32, 2.18]"
"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",0,0,3,0,0,0,1,0,0,0.01,-4.63,"[0.0, 1.35, 1.55, 0.19, 0.0, 0.0, 0.8, 0.09, 0.9, 1.97]","[-1.84, 1.35, 1.55, 0.19, -0.01, -1.88, 0.8, 0.09, 0.9, 1.97]"
"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1]",0,0,4,0,0,0,1,0,0,0.0,-28.62,"[0.0, 3.91, 1.28, 0.15, 0.0, 0.0, 1.11, 1.48, 0.89, 1.95]","[-1.87, 3.91, 1.28, 0.15, -0.01, -5.49, 1.11, 1.48, 0.89, 1.95]"
"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",0,0,3,0,0,0,1,0,0,0.0,-14.94,"[0.0, 0.0, 1.63, 0.0, 0.0, 0.0, 2.82, 2.05, 1.33, 1.71]","[-1.93, -3.09, 1.63, -0.73, -0.0, -0.92, 2.82, 2.05, 1.33, 1.71]"
"[0, 0, 0, 1, 0, 0, 1, 1, 0, 1]",0,0,4,0,0,0,1,0,0,0.0,-23.1,"[0.0, 0.0, 1.36, 0.0, 0.0, 0.0, 3.13, 3.44, 1.32, 1.69]","[-1.96, -0.53, 1.36, -0.78, -0.0, -4.52, 3.13, 3.44, 1.32, 1.69]"
"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]",0,0,4,0,0,0,1,0,0,0.0,-19.95,"[0.0, 0.0, 1.58, 0.0, 0.0, 0.0, 3.62, 2.14, 0.9, 1.48]","[-2.01, -1.75, 1.58, -0.02, -0.01, -2.8, 3.62, 2.14, 0.9, 1.48]"
"[0, 0, 0, 1, 0, 0, 1, 1, 1, 1]",0,0,5,0,0,0,1,0,0,0.0,-33.12,"[0.0, 0.81, 1.31, 0.0, 0.0, 0.0, 3.93, 3.53, 0.89, 1.46]","[-2.03, 0.81, 1.31, -0.06, -0.01, -6.4, 3.93, 3.53, 0.89, 1.46]"
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0,0,2,0,0,0,1,0,1,0.0,-15.66,"[0.03, 1.89, 0.68, 0.0, 0.0, 0.0, 1.9, 0.16, 0.9, 1.38]","[0.03, 1.89, 0.68, -0.66, -0.0, -3.14, 1.9, 0.16, 0.9, 1.38]"
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",0,0,3,0,0,0,1,0,1,0.0,-39.64,"[0.01, 4.45, 0.41, 0.0, 0.0, 0.0, 2.21, 1.55, 0.9, 1.36]","[0.01, 4.45, 0.41, -0.7, -0.0, -6.74, 2.21, 1.55, 0.9, 1.36]"
"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",0,0,3,0,0,0,1,0,1,0.0,-28.94,"[0.0, 3.24, 0.63, 0.06, 0.0, 0.0, 2.7, 0.25, 0.47, 1.15]","[-0.05, 3.24, 0.63, 0.06, -0.0, -5.02, 2.7, 0.25, 0.47, 1.15]"
"[0, 0, 0, 1, 0, 1, 0, 0, 1, 1]",0,0,4,0,0,0,1,0,1,0.0,-52.94,"[0.0, 5.8, 0.36, 0.01, 0.0, 0.0, 3.01, 1.64, 0.47, 1.12]","[-0.07, 5.8, 0.36, 0.01, -0.01, -8.62, 3.01, 1.64, 0.47, 1.12]"
"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",0,0,3,0,0,0,1,0,1,0.0,-27.39,"[0.0, 0.0, 0.71, 0.0, 0.0, 0.0, 4.72, 2.21, 0.91, 0.89]","[-0.14, -1.2, 0.71, -0.87, -0.0, -4.06, 4.72, 2.21, 0.91, 0.89]"
