X,Y,Predicted,A2,Z2,A1,Z1
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",[0],0,0.03,-3.49,"[0.75, 0.67]","[1.1, 0.69]"
"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",[0],0,0.03,-3.64,"[0.83, 0.68]","[1.6, 0.77]"
"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",[0],0,0.03,-3.43,"[0.73, 0.65]","[1.01, 0.6]"
"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",[0],0,0.03,-3.59,"[0.82, 0.66]","[1.51, 0.67]"
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",[0],0,0.03,-3.43,"[0.69, 0.69]","[0.79, 0.8]"
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",[0],0,0.03,-3.59,"[0.78, 0.71]","[1.29, 0.88]"
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",[0],0,0.03,-3.37,"[0.67, 0.67]","[0.7, 0.7]"
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",[0],0,0.03,-3.54,"[0.77, 0.69]","[1.2, 0.78]"
"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",[0],0,0.03,-3.6,"[0.79, 0.7]","[1.33, 0.86]"
"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]",[0],0,0.02,-3.73,"[0.86, 0.72]","[1.83, 0.94]"
"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",[0],0,0.03,-3.55,"[0.78, 0.68]","[1.24, 0.77]"
"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1]",[0],0,0.02,-3.69,"[0.85, 0.7]","[1.74, 0.84]"
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",[0],0,0.04,-3.25,"[0.62, 0.63]","[0.49, 0.55]"
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",[0],0,0.03,-3.44,"[0.73, 0.65]","[0.99, 0.63]"
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",[0],0,0.04,-3.19,"[0.6, 0.61]","[0.4, 0.45]"
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1]",[0],0,0.03,-3.38,"[0.71, 0.63]","[0.9, 0.53]"
"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",[0],0,0.03,-3.45,"[0.74, 0.65]","[1.03, 0.61]"
"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",[0],0,0.03,-3.6,"[0.82, 0.67]","[1.53, 0.69]"
"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",[0],0,0.03,-3.39,"[0.72, 0.63]","[0.94, 0.52]"
"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",[0],0,0.03,-3.55,"[0.81, 0.64]","[1.44, 0.59]"
"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",[1],0,0.05,-3.0,"[0.51, 0.57]","[0.05, 0.28]"
"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",[0],0,0.04,-3.21,"[0.64, 0.59]","[0.55, 0.36]"
"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",[0],0,0.05,-2.94,"[0.49, 0.55]","[-0.04, 0.19]"
"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1]",[0],0,0.04,-3.15,"[0.61, 0.57]","[0.46, 0.26]"
"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",[0],0,0.04,-3.22,"[0.64, 0.58]","[0.59, 0.34]"
"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",[0],0,0.03,-3.41,"[0.75, 0.6]","[1.09, 0.42]"
"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",[0],0,0.04,-3.16,"[0.62, 0.56]","[0.5, 0.25]"
"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1]",[0],0,0.03,-3.35,"[0.73, 0.58]","[1.0, 0.33]"
"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0]",[0],0,0.06,-2.81,"[0.44, 0.51]","[-0.25, 0.03]"
"[0, 0, 0, 0, 1, 1, 1, 0, 0, 1]",[0],0,0.05,-3.02,"[0.56, 0.53]","[0.25, 0.11]"
"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",[0],0,0.06,-2.74,"[0.42, 0.48]","[-0.34, -0.07]"
"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1]",[0],0,0.05,-2.95,"[0.54, 0.5]","[0.16, 0.01]"
"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",[0],0,0.05,-3.03,"[0.57, 0.52]","[0.29, 0.09]"
"[0, 0, 0, 0, 1, 1, 1, 1, 0, 1]",[0],0,0.04,-3.23,"[0.69, 0.54]","[0.79, 0.17]"
"[0, 0, 0, 0, 1, 1, 1, 1, 1, 0]",[0],0,0.05,-2.97,"[0.55, 0.5]","[0.2, -0.0]"
"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",[0],0,0.04,-3.17,"[0.67, 0.52]","[0.7, 0.07]"
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",[0],0,0.03,-3.66,"[0.78, 0.76]","[1.28, 1.13]"
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",[0],0,0.02,-3.79,"[0.86, 0.77]","[1.78, 1.21]"
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",[0],0,0.03,-3.61,"[0.77, 0.74]","[1.19, 1.03]"
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",[0],0,0.02,-3.74,"[0.84, 0.75]","[1.69, 1.11]"
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",[0],0,0.02,-3.79,"[0.86, 0.77]","[1.82, 1.19]"
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",[0],0,0.02,-3.88,"[0.91, 0.78]","[2.32, 1.27]"
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",[0],0,0.02,-3.75,"[0.85, 0.75]","[1.73, 1.1]"
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]",[0],0,0.02,-3.85,"[0.9, 0.76]","[2.23, 1.17]"
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",[1],0,0.03,-3.51,"[0.73, 0.71]","[0.98, 0.88]"
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",[0],0,0.03,-3.66,"[0.81, 0.72]","[1.48, 0.95]"
"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",[0],0,0.03,-3.45,"[0.71, 0.69]","[0.89, 0.78]"
"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1]",[0],0,0.03,-3.61,"[0.8, 0.7]","[1.39, 0.86]"
"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",[0],0,0.02,-3.66,"[0.82, 0.72]","[1.52, 0.94]"
"[0, 0, 0, 1, 0, 0, 1, 1, 0, 1]",[0],0,0.02,-3.78,"[0.88, 0.73]","[2.02, 1.02]"
"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]",[0],0,0.03,-3.62,"[0.81, 0.7]","[1.43, 0.85]"
"[0, 0, 0, 1, 0, 0, 1, 1, 1, 1]",[0],0,0.02,-3.74,"[0.87, 0.72]","[1.93, 0.92]"
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",[0],0,0.04,-3.29,"[0.63, 0.65]","[0.54, 0.61]"
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",[0],0,0.03,-3.47,"[0.74, 0.67]","[1.04, 0.69]"
"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",[0],0,0.04,-3.22,"[0.61, 0.63]","[0.45, 0.51]"
"[0, 0, 0, 1, 0, 1, 0, 0, 1, 1]",[0],0,0.03,-3.42,"[0.72, 0.64]","[0.95, 0.59]"
"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",[0],0,0.03,-3.48,"[0.75, 0.66]","[1.08, 0.67]"
"[0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",[0],0,0.03,-3.63,"[0.83, 0.68]","[1.58, 0.75]"
"[0, 0, 0, 1, 0, 1, 0, 1, 1, 0]",[0],0,0.03,-3.42,"[0.73, 0.64]","[0.99, 0.58]"
"[0, 0, 0, 1, 0, 1, 0, 1, 1, 1]",[0],0,0.03,-3.58,"[0.82, 0.66]","[1.49, 0.65]"
"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",[0],0,0.04,-3.1,"[0.56, 0.59]","[0.24, 0.36]"
"[0, 0, 0, 1, 0, 1, 1, 0, 0, 1]",[0],0,0.04,-3.3,"[0.68, 0.61]","[0.74, 0.44]"
"[0, 0, 0, 1, 0, 1, 1, 0, 1, 0]",[0],0,0.05,-3.03,"[0.54, 0.57]","[0.15, 0.26]"
"[0, 0, 0, 1, 0, 1, 1, 0, 1, 1]",[0],0,0.04,-3.24,"[0.66, 0.58]","[0.65, 0.34]"
"[0, 0, 0, 1, 0, 1, 1, 1, 0, 0]",[0],0,0.04,-3.31,"[0.69, 0.6]","[0.78, 0.42]"
"[0, 0, 0, 1, 0, 1, 1, 1, 0, 1]",[0],0,0.03,-3.48,"[0.78, 0.62]","[1.28, 0.5]"
"[0, 0, 0, 1, 0, 1, 1, 1, 1, 0]",[0],0,0.04,-3.25,"[0.67, 0.58]","[0.69, 0.33]"
"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1]",[0],0,0.03,-3.43,"[0.77, 0.6]","[1.19, 0.4]"
"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",[0],0,0.04,-3.24,"[0.62, 0.63]","[0.47, 0.53]"
"[0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",[0],0,0.03,-3.43,"[0.73, 0.65]","[0.97, 0.61]"
"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",[0],0,0.04,-3.17,"[0.59, 0.61]","[0.38, 0.43]"
"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1]",[0],0,0.03,-3.37,"[0.71, 0.62]","[0.88, 0.51]"
"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",[0],0,0.03,-3.43,"[0.73, 0.64]","[1.01, 0.59]"
"[0, 0, 0, 1, 1, 0, 0, 1, 0, 1]",[0],0,0.03,-3.59,"[0.82, 0.66]","[1.52, 0.67]"
"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0]",[0],0,0.03,-3.38,"[0.72, 0.62]","[0.92, 0.5]"
"[0, 0, 0, 1, 1, 0, 0, 1, 1, 1]",[0],0,0.03,-3.54,"[0.81, 0.64]","[1.42, 0.57]"
"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",[0],0,0.05,-3.05,"[0.54, 0.57]","[0.17, 0.28]"
"[0, 0, 0, 1, 1, 0, 1, 0, 0, 1]",[0],0,0.04,-3.25,"[0.66, 0.59]","[0.67, 0.35]"
"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0]",[0],0,0.05,-2.98,"[0.52, 0.55]","[0.08, 0.18]"
"[0, 0, 0, 1, 1, 0, 1, 0, 1, 1]",[0],0,0.04,-3.19,"[0.64, 0.56]","[0.58, 0.26]"
"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0]",[0],0,0.04,-3.26,"[0.67, 0.58]","[0.71, 0.34]"
"[0, 0, 0, 1, 1, 0, 1, 1, 0, 1]",[0],0,0.03,-3.44,"[0.77, 0.6]","[1.21, 0.42]"
"[0, 0, 0, 1, 1, 0, 1, 1, 1, 0]",[0],0,0.04,-3.2,"[0.65, 0.56]","[0.62, 0.24]"
"[0, 0, 0, 1, 1, 0, 1, 1, 1, 1]",[0],0,0.03,-3.38,"[0.75, 0.58]","[1.12, 0.32]"
"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",[0],0,0.06,-2.79,"[0.43, 0.5]","[-0.27, 0.01]"
"[0, 0, 0, 1, 1, 1, 0, 0, 0, 1]",[0],0,0.05,-3.01,"[0.56, 0.52]","[0.24, 0.09]"
"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0]",[0],0,0.06,-2.73,"[0.41, 0.48]","[-0.36, -0.09]"
"[0, 0, 0, 1, 1, 1, 0, 0, 1, 1]",[0],0,0.05,-2.94,"[0.54, 0.5]","[0.14, -0.01]"
"[0, 0, 0, 1, 1, 1, 0, 1, 0, 0]",[0],0,0.05,-3.02,"[0.57, 0.52]","[0.28, 0.07]"
"[0, 0, 0, 1, 1, 1, 0, 1, 0, 1]",[0],0,0.04,-3.22,"[0.68, 0.54]","[0.78, 0.15]"
"[0, 0, 0, 1, 1, 1, 0, 1, 1, 0]",[0],0,0.05,-2.95,"[0.55, 0.49]","[0.18, -0.02]"
"[0, 0, 0, 1, 1, 1, 0, 1, 1, 1]",[0],0,0.04,-3.16,"[0.66, 0.51]","[0.68, 0.05]"
"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",[1],0,0.07,-2.6,"[0.36, 0.44]","[-0.57, -0.24]"
"[0, 0, 0, 1, 1, 1, 1, 0, 0, 1]",[0],0,0.06,-2.81,"[0.48, 0.46]","[-0.07, -0.17]"
"[0, 0, 0, 1, 1, 1, 1, 0, 1, 0]",[0],0,0.07,-2.54,"[0.34, 0.42]","[-0.66, -0.34]"
"[0, 0, 0, 1, 1, 1, 1, 0, 1, 1]",[0],0,0.06,-2.75,"[0.46, 0.44]","[-0.16, -0.26]"
"[0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",[0],0,0.06,-2.82,"[0.49, 0.46]","[-0.03, -0.18]"
"[0, 0, 0, 1, 1, 1, 1, 1, 0, 1]",[0],0,0.05,-3.03,"[0.62, 0.47]","[0.47, -0.1]"
"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",[0],0,0.06,-2.76,"[0.47, 0.43]","[-0.12, -0.28]"
"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",[0],0,0.05,-2.97,"[0.59, 0.45]","[0.38, -0.2]"
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",[0],0,0.02,-3.88,"[0.89, 0.8]","[2.1, 1.4]"
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",[0],0,0.02,-3.96,"[0.93, 0.81]","[2.6, 1.48]"
"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",[0],0,0.02,-3.85,"[0.88, 0.79]","[2.01, 1.31]"
"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",[0],0,0.02,-3.93,"[0.92, 0.8]","[2.51, 1.38]"
"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",[1],0,0.02,-3.96,"[0.93, 0.81]","[2.64, 1.46]"
"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1]",[0],0,0.02,-4.01,"[0.96, 0.82]","[3.14, 1.54]"
"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",[0],0,0.02,-3.93,"[0.93, 0.8]","[2.55, 1.37]"
"[0, 0, 1, 0, 0, 0, 0, 1, 1, 1]",[0],0,0.02,-3.99,"[0.95, 0.81]","[3.05, 1.45]"
"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",[0],0,0.02,-3.77,"[0.86, 0.76]","[1.79, 1.15]"
"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",[0],0,0.02,-3.87,"[0.91, 0.77]","[2.3, 1.23]"
"[0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",[0],0,0.02,-3.73,"[0.85, 0.74]","[1.7, 1.05]"
"[0, 0, 1, 0, 0, 0, 1, 0, 1, 1]",[0],0,0.02,-3.84,"[0.9, 0.76]","[2.2, 1.13]"
"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",[0],0,0.02,-3.87,"[0.91, 0.77]","[2.34, 1.21]"
"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",[0],0,0.02,-3.94,"[0.94, 0.78]","[2.84, 1.29]"
"[0, 0, 1, 0, 0, 0, 1, 1, 1, 0]",[0],0,0.02,-3.84,"[0.9, 0.75]","[2.24, 1.12]"
"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1]",[0],0,0.02,-3.91,"[0.94, 0.77]","[2.74, 1.19]"
"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",[0],0,0.03,-3.61,"[0.8, 0.71]","[1.36, 0.88]"
"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",[0],0,0.02,-3.74,"[0.87, 0.72]","[1.86, 0.96]"
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",[0],0,0.03,-3.56,"[0.78, 0.69]","[1.27, 0.79]"
"[0, 0, 1, 0, 0, 1, 0, 0, 1, 1]",[0],0,0.02,-3.7,"[0.85, 0.7]","[1.77, 0.86]"
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",[0],0,0.02,-3.74,"[0.87, 0.72]","[1.9, 0.94]"
"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",[0],0,0.02,-3.83,"[0.92, 0.74]","[2.4, 1.02]"
"[0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",[0],0,0.02,-3.7,"[0.86, 0.7]","[1.81, 0.85]"
"[0, 0, 1, 0, 0, 1, 0, 1, 1, 1]",[0],0,0.02,-3.8,"[0.91, 0.72]","[2.31, 0.93]"
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]",[0],0,0.03,-3.46,"[0.74, 0.65]","[1.06, 0.63]"
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1]",[0],0,0.03,-3.61,"[0.83, 0.67]","[1.56, 0.71]"
"[0, 0, 1, 0, 0, 1, 1, 0, 1, 0]",[0],0,0.03,-3.4,"[0.72, 0.63]","[0.96, 0.53]"
"[0, 0, 1, 0, 0, 1, 1, 0, 1, 1]",[0],0,0.03,-3.56,"[0.81, 0.65]","[1.46, 0.61]"
"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0]",[0],0,0.03,-3.61,"[0.83, 0.67]","[1.6, 0.69]"
"[0, 0, 1, 0, 0, 1, 1, 1, 0, 1]",[0],0,0.02,-3.73,"[0.89, 0.68]","[2.1, 0.77]"
"[0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",[0],0,0.03,-3.57,"[0.82, 0.65]","[1.5, 0.6]"
"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",[0],0,0.02,-3.68,"[0.88, 0.66]","[2.0, 0.67]"
"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",[0],0,0.03,-3.57,"[0.78, 0.69]","[1.29, 0.8]"
"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",[0],0,0.02,-3.7,"[0.86, 0.71]","[1.79, 0.88]"
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",[0],0,0.03,-3.52,"[0.77, 0.67]","[1.2, 0.71]"
"[0, 0, 1, 0, 1, 0, 0, 0, 1, 1]",[0],0,0.03,-3.66,"[0.85, 0.69]","[1.7, 0.78]"
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",[0],0,0.02,-3.71,"[0.86, 0.7]","[1.83, 0.86]"
"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1]",[0],0,0.02,-3.8,"[0.91, 0.72]","[2.33, 0.94]"
"[0, 0, 1, 0, 1, 0, 0, 1, 1, 0]",[0],0,0.02,-3.66,"[0.85, 0.68]","[1.74, 0.77]"
"[0, 0, 1, 0, 1, 0, 0, 1, 1, 1]",[0],0,0.02,-3.77,"[0.9, 0.7]","[2.24, 0.85]"
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",[0],0,0.03,-3.41,"[0.73, 0.63]","[0.99, 0.55]"
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1]",[0],0,0.03,-3.57,"[0.82, 0.65]","[1.49, 0.63]"
"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",[0],0,0.03,-3.36,"[0.71, 0.61]","[0.89, 0.45]"
"[0, 0, 1, 0, 1, 0, 1, 0, 1, 1]",[0],0,0.03,-3.52,"[0.8, 0.63]","[1.39, 0.53]"
"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0]",[0],0,0.03,-3.57,"[0.82, 0.65]","[1.53, 0.61]"
"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1]",[0],0,0.02,-3.69,"[0.88, 0.67]","[2.03, 0.69]"
"[0, 0, 1, 0, 1, 0, 1, 1, 1, 0]",[0],0,0.03,-3.52,"[0.81, 0.63]","[1.43, 0.52]"
"[0, 0, 1, 0, 1, 0, 1, 1, 1, 1]",[0],0,0.03,-3.65,"[0.87, 0.64]","[1.93, 0.59]"
"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",[0],0,0.04,-3.19,"[0.63, 0.57]","[0.55, 0.28]"
"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1]",[0],0,0.03,-3.37,"[0.74, 0.59]","[1.05, 0.36]"
"[0, 0, 1, 0, 1, 1, 0, 0, 1, 0]",[0],0,0.04,-3.12,"[0.61, 0.55]","[0.46, 0.19]"
"[0, 0, 1, 0, 1, 1, 0, 0, 1, 1]",[0],0,0.04,-3.32,"[0.72, 0.57]","[0.96, 0.26]"
"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0]",[1],0,0.03,-3.38,"[0.75, 0.58]","[1.09, 0.34]"
"[0, 0, 1, 0, 1, 1, 0, 1, 0, 1]",[0],0,0.03,-3.53,"[0.83, 0.6]","[1.59, 0.42]"
"[0, 0, 1, 0, 1, 1, 0, 1, 1, 0]",[0],0,0.03,-3.32,"[0.73, 0.56]","[1.0, 0.25]"
"[0, 0, 1, 0, 1, 1, 0, 1, 1, 1]",[0],0,0.03,-3.48,"[0.82, 0.58]","[1.5, 0.33]"
"[0, 0, 1, 0, 1, 1, 1, 0, 0, 0]",[0],0,0.05,-2.99,"[0.56, 0.51]","[0.25, 0.03]"
"[0, 0, 1, 0, 1, 1, 1, 0, 0, 1]",[0],0,0.04,-3.2,"[0.68, 0.53]","[0.75, 0.11]"
"[0, 0, 1, 0, 1, 1, 1, 0, 1, 0]",[0],0,0.05,-2.93,"[0.54, 0.48]","[0.15, -0.07]"
"[0, 0, 1, 0, 1, 1, 1, 0, 1, 1]",[0],0,0.04,-3.14,"[0.66, 0.5]","[0.66, 0.01]"
"[0, 0, 1, 0, 1, 1, 1, 1, 0, 0]",[0],0,0.04,-3.21,"[0.69, 0.52]","[0.79, 0.09]"
"[0, 0, 1, 0, 1, 1, 1, 1, 0, 1]",[0],0,0.03,-3.38,"[0.78, 0.54]","[1.29, 0.17]"
"[0, 0, 1, 0, 1, 1, 1, 1, 1, 0]",[0],0,0.04,-3.14,"[0.67, 0.5]","[0.7, -0.0]"
"[0, 0, 1, 0, 1, 1, 1, 1, 1, 1]",[0],0,0.03,-3.32,"[0.77, 0.52]","[1.2, 0.07]"
"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",[0],0,0.02,-3.77,"[0.86, 0.76]","[1.78, 1.13]"
"[0, 0, 1, 1, 0, 0, 0, 0, 0, 1]",[0],0,0.02,-3.86,"[0.91, 0.77]","[2.28, 1.21]"
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0]",[0],0,0.02,-3.73,"[0.84, 0.74]","[1.69, 1.03]"
"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1]",[0],0,0.02,-3.83,"[0.9, 0.75]","[2.19, 1.11]"
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",[0],0,0.02,-3.86,"[0.91, 0.77]","[2.32, 1.19]"
"[0, 0, 1, 1, 0, 0, 0, 1, 0, 1]",[0],0,0.02,-3.93,"[0.94, 0.78]","[2.82, 1.27]"
"[0, 0, 1, 1, 0, 0, 0, 1, 1, 0]",[0],0,0.02,-3.83,"[0.9, 0.75]","[2.23, 1.1]"
