X,Y,Predicted,Number of 1's,F1,F2,F3,F4,F5,F6,A2,Z2,A1,Z1
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0,0,2,0,0,0,0,1,0,0.0,-29.73,"[7.38, 4.57, 4.0, 2.15]","[7.38, 4.57, 4.0, 2.15]"
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",0,0,3,0,0,0,0,1,0,0.0,-17.98,"[2.75, 0.91, 2.13, 0.75]","[2.75, 0.91, 2.13, 0.75]"
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",0,0,3,0,0,0,0,1,0,0.0,-23.38,"[5.43, 3.74, 2.87, 1.47]","[5.43, 3.74, 2.87, 1.47]"
"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1]",0,0,4,0,0,0,0,1,0,0.0,-11.63,"[0.81, 0.08, 1.0, 0.07]","[0.81, 0.08, 1.0, 0.07]"
"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0,0,3,0,0,0,0,1,0,0.0,-14.65,"[3.23, 2.79, 1.71, 0.84]","[3.23, 2.79, 1.71, 0.84]"
"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0,0,4,0,0,0,0,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-1.39, -0.86, -0.16, -0.56]"
"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",0,0,4,0,0,0,0,1,0,0.0,-8.31,"[1.29, 1.97, 0.57, 0.16]","[1.29, 1.97, 0.57, 0.16]"
"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0,0,5,0,0,0,0,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-3.34, -1.69, -1.3, -1.25]"
"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",1,1,2,0,0,0,0,1,1,1.0,5.5,"[0.0, 1.03, 0.0, 1.7]","[-0.01, 1.03, -0.76, 1.7]"
"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,0,3,0,0,0,0,1,1,0.0,-8.28,"[0.0, 0.0, 0.0, 0.3]","[-4.64, -2.63, -2.63, 0.3]"
"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",0,0,3,0,0,0,0,1,1,0.04,-3.18,"[0.0, 0.2, 0.0, 1.02]","[-1.96, 0.2, -1.9, 1.02]"
"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1]",0,0,4,0,0,0,0,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-6.58, -3.46, -3.77, -0.39]"
"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",0,0,3,0,0,0,0,1,1,0.0,-7.78,"[0.0, 0.0, 0.0, 0.39]","[-4.16, -0.75, -3.06, 0.39]"
"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,0,4,0,0,0,0,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-8.78, -4.4, -4.93, -1.02]"
"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",0,0,4,0,0,0,0,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-6.1, -1.57, -4.19, -0.29]"
"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1]",0,0,5,0,0,0,0,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-10.73, -5.23, -6.06, -1.7]"
"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0]",0,0,3,0,0,0,0,1,1,0.0,-18.76,"[5.26, 3.28, 2.09, 3.47]","[5.26, 3.28, 2.09, 3.47]"
"[0, 0, 0, 0, 1, 1, 1, 0, 0, 1]",0,0,4,0,0,0,0,1,1,0.01,-4.73,"[0.64, 0.0, 0.22, 2.07]","[0.64, -0.38, 0.22, 2.07]"
"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",0,0,4,0,0,0,0,1,1,0.0,-12.41,"[3.32, 2.45, 0.96, 2.79]","[3.32, 2.45, 0.96, 2.79]"
"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1]",0,0,5,0,0,0,0,1,1,0.08,-2.42,"[0.0, 0.0, 0.0, 1.38]","[-1.31, -1.2, -0.91, 1.38]"
"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",0,0,4,0,0,0,0,1,1,0.09,-2.28,"[1.12, 1.5, 0.0, 2.16]","[1.12, 1.5, -0.2, 2.16]"
"[0, 0, 0, 0, 1, 1, 1, 1, 0, 1]",0,0,5,0,0,0,0,1,1,0.0,-5.81,"[0.0, 0.0, 0.0, 0.75]","[-3.51, -2.15, -2.08, 0.75]"
"[0, 0, 0, 0, 1, 1, 1, 1, 1, 0]",0,1,5,0,0,0,0,1,1,0.9,2.17,"[0.0, 0.68, 0.0, 1.48]","[-0.83, 0.68, -1.34, 1.48]"
"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,0,6,0,0,0,0,1,1,0.0,-9.48,"[0.0, 0.0, 0.0, 0.07]","[-5.45, -2.98, -3.21, 0.07]"
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,1,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-5.29, -0.58, -2.15, -4.06]"
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0,0,2,0,0,0,1,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-9.92, -4.24, -4.02, -5.46]"
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",0,0,2,0,0,0,1,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-7.24, -1.41, -3.28, -4.74]"
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]",0,0,3,0,0,0,1,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-11.86, -5.06, -5.15, -6.15]"
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0,0,2,0,0,0,1,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-9.44, -2.35, -4.44, -5.37]"
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",0,0,3,0,0,0,1,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-14.06, -6.01, -6.31, -6.78]"
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",0,0,3,0,0,0,1,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-11.38, -3.18, -5.57, -6.05]"
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]",0,0,4,0,0,0,1,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-16.01, -6.84, -7.44, -7.46]"
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",1,1,2,0,0,0,1,0,0,0.99,5.13,"[0.0, 1.67, 0.71, 0.0]","[-0.02, 1.67, 0.71, -2.29]"
"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",0,0,3,0,0,0,1,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-4.64, -1.98, -1.16, -3.69]"
"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0]",0,0,3,0,0,0,1,0,0,0.01,-4.76,"[0.0, 0.84, 0.0, 0.0]","[-1.96, 0.84, -0.43, -2.97]"
"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1]",0,0,4,0,0,0,1,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-6.59, -2.81, -2.3, -4.38]"
"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",0,0,3,0,0,0,1,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-4.16, -0.1, -1.59, -3.6]"
"[0, 0, 0, 1, 0, 0, 1, 1, 0, 1]",0,0,4,0,0,0,1,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-8.79, -3.76, -3.46, -5.0]"
"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]",0,0,4,0,0,0,1,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-6.11, -0.93, -2.72, -4.28]"
"[0, 0, 0, 1, 0, 0, 1, 1, 1, 1]",0,0,5,0,0,0,1,0,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-10.73, -4.59, -4.59, -5.69]"
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0,0,2,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-7.41, -1.87, -4.06, -2.74]"
"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",0,0,3,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-12.03, -5.52, -5.93, -4.15]"
"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",0,0,3,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-9.35, -2.7, -5.19, -3.42]"
"[0, 0, 0, 1, 0, 1, 0, 0, 1, 1]",0,0,4,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-13.98, -6.35, -7.06, -4.83]"
"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",0,0,3,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-11.55, -3.64, -6.35, -4.05]"
"[0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",0,0,4,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-16.18, -7.3, -8.22, -5.46]"
"[0, 0, 0, 1, 0, 1, 0, 1, 1, 0]",0,0,4,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-13.5, -4.47, -7.48, -4.74]"
"[0, 0, 0, 1, 0, 1, 0, 1, 1, 1]",0,0,5,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-18.12, -8.13, -9.35, -6.14]"
"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",0,0,3,0,0,0,1,0,1,0.0,-7.55,"[0.0, 0.38, 0.0, 0.0]","[-2.13, 0.38, -1.2, -0.97]"
"[0, 0, 0, 1, 0, 1, 1, 0, 0, 1]",0,0,4,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-6.76, -3.27, -3.07, -2.38]"
"[0, 0, 0, 1, 0, 1, 1, 0, 1, 0]",0,0,4,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-4.08, -0.44, -2.34, -1.65]"
"[0, 0, 0, 1, 0, 1, 1, 0, 1, 1]",0,0,5,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-8.7, -4.1, -4.21, -3.06]"
"[0, 0, 0, 1, 0, 1, 1, 1, 0, 0]",0,0,4,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-6.28, -1.39, -3.5, -2.28]"
"[0, 0, 0, 1, 0, 1, 1, 1, 0, 1]",0,0,5,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-10.9, -5.05, -5.37, -3.69]"
"[0, 0, 0, 1, 0, 1, 1, 1, 1, 0]",0,0,5,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-8.22, -2.22, -4.63, -2.97]"
"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1]",0,0,6,0,0,0,1,0,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-12.85, -5.88, -6.5, -4.37]"
"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",0,0,2,0,0,0,1,1,0,0.0,-9.42,"[0.0, 0.07, 0.0, 0.0]","[-3.18, 0.07, -1.74, -1.43]"
"[0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",0,0,3,0,0,0,1,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-7.81, -3.58, -3.61, -2.84]"
"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",0,0,3,0,0,0,1,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-5.12, -0.75, -2.87, -2.11]"
"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1]",0,0,4,0,0,0,1,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-9.75, -4.41, -4.74, -3.52]"
"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",0,0,3,0,0,0,1,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-7.33, -1.7, -4.03, -2.74]"
"[0, 0, 0, 1, 1, 0, 0, 1, 0, 1]",0,0,4,0,0,0,1,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-11.95, -5.36, -5.9, -4.15]"
"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0]",0,0,4,0,0,0,1,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-9.27, -2.53, -5.17, -3.42]"
"[0, 0, 0, 1, 1, 0, 0, 1, 1, 1]",0,0,5,0,0,0,1,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-13.9, -6.18, -7.04, -4.83]"
"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",0,0,3,0,0,0,1,1,0,0.0,-10.89,"[2.1, 2.33, 1.11, 0.34]","[2.1, 2.33, 1.11, 0.34]"
"[0, 0, 0, 1, 1, 0, 1, 0, 0, 1]",0,0,4,0,0,0,1,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-2.53, -1.33, -0.76, -1.06]"
"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0]",0,0,4,0,0,0,1,1,0,0.07,-2.57,"[0.15, 1.5, 0.0, 0.0]","[0.15, 1.5, -0.02, -0.34]"
"[0, 0, 0, 1, 1, 0, 1, 0, 1, 1]",0,0,5,0,0,0,1,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-4.47, -2.16, -1.89, -1.75]"
"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0]",0,0,4,0,0,0,1,1,0,0.0,-6.53,"[0.0, 0.55, 0.0, 0.0]","[-2.05, 0.55, -1.18, -0.97]"
"[0, 0, 0, 1, 1, 0, 1, 1, 0, 1]",0,0,5,0,0,0,1,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-6.68, -3.11, -3.05, -2.38]"
"[0, 0, 0, 1, 1, 0, 1, 1, 1, 0]",0,0,5,0,0,0,1,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-3.99, -0.28, -2.31, -1.65]"
"[0, 0, 0, 1, 1, 0, 1, 1, 1, 1]",0,0,6,0,0,0,1,1,0,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-8.62, -3.93, -4.18, -3.06]"
"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",0,0,3,0,0,0,1,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-5.3, -1.21, -3.65, -0.11]"
"[0, 0, 0, 1, 1, 1, 0, 0, 0, 1]",0,0,4,0,0,0,1,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-9.92, -4.87, -5.52, -1.52]"
"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0]",0,0,4,0,0,0,1,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-7.24, -2.04, -4.78, -0.8]"
"[0, 0, 0, 1, 1, 1, 0, 0, 1, 1]",0,0,5,0,0,0,1,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-11.87, -5.7, -6.65, -2.2]"
"[0, 0, 0, 1, 1, 1, 0, 1, 0, 0]",0,0,4,0,0,0,1,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-9.44, -2.99, -5.94, -1.42]"
"[0, 0, 0, 1, 1, 1, 0, 1, 0, 1]",0,0,5,0,0,0,1,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-14.07, -6.65, -7.81, -2.83]"
"[0, 0, 0, 1, 1, 1, 0, 1, 1, 0]",0,0,5,0,0,0,1,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-11.39, -3.82, -7.08, -2.11]"
"[0, 0, 0, 1, 1, 1, 0, 1, 1, 1]",0,0,6,0,0,0,1,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-16.01, -7.47, -8.95, -3.51]"
"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",1,1,4,0,0,0,1,1,1,1.0,5.33,"[0.0, 1.04, 0.0, 1.66]","[-0.02, 1.04, -0.8, 1.66]"
"[0, 0, 0, 1, 1, 1, 1, 0, 0, 1]",0,0,5,0,0,0,1,1,1,0.0,-8.5,"[0.0, 0.0, 0.0, 0.25]","[-4.65, -2.62, -2.67, 0.25]"
"[0, 0, 0, 1, 1, 1, 1, 0, 1, 0]",0,0,5,0,0,0,1,1,1,0.03,-3.36,"[0.0, 0.21, 0.0, 0.98]","[-1.96, 0.21, -1.93, 0.98]"
"[0, 0, 0, 1, 1, 1, 1, 0, 1, 1]",0,0,6,0,0,0,1,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-6.59, -3.45, -3.8, -0.43]"
"[0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",0,0,5,0,0,0,1,1,1,0.0,-8.01,"[0.0, 0.0, 0.0, 0.35]","[-4.17, -0.74, -3.09, 0.35]"
"[0, 0, 0, 1, 1, 1, 1, 1, 0, 1]",0,0,6,0,0,0,1,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-8.79, -4.39, -4.96, -1.06]"
"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",0,0,6,0,0,0,1,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-6.11, -1.57, -4.22, -0.34]"
"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0,0,7,0,0,0,1,1,1,0.0,-9.87,"[0.0, 0.0, 0.0, 0.0]","[-10.74, -5.22, -6.1, -1.74]"
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,1,0,0,0,0.0,-16.63,"[4.13, 3.46, 3.02, 0.0]","[4.13, 3.46, 3.02, -1.08]"
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",0,0,2,0,0,1,0,0,0,0.13,-1.94,"[0.0, 0.0, 1.15, 0.0]","[-0.5, -0.2, 1.15, -2.48]"
"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",0,0,2,0,0,1,0,0,0,0.0,-6.61,"[2.19, 2.63, 1.89, 0.0]","[2.19, 2.63, 1.89, -1.76]"
"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",0,0,3,0,0,1,0,0,0,0.0,-9.75,"[0.0, 0.0, 0.02, 0.0]","[-2.44, -1.03, 0.02, -3.16]"
"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1,1,2,0,0,1,0,0,0,1.0,5.32,"[0.0, 1.68, 0.73, 0.0]","[-0.02, 1.68, 0.73, -2.39]"
